# Simulation 1 (Up to date)
# 923 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
# Event SIM_WARN occurred at t=0 seconds: No recovery device defined in the simulation.
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
2.922,400.638,133.052,-32.907
2.949,404.188,132.175,-32.649
2.989,409.469,130.874,-32.118
3.039,415.973,129.282,-31.506
3.089,422.398,127.719,-30.981
3.139,428.746,126.186,-30.595
3.149,429.959,125.892,-30.41
3.163,431.772,125.455,-30.103
3.179,433.732,124.987,-29.827
3.19,435.091,124.663,-29.708
3.204,436.845,124.244,-29.629
3.225,439.466,123.619,-29.531
3.24,441.271,123.188,-29.406
3.262,443.968,122.546,-29.112
3.295,447.986,121.594,-28.723
3.34,453.506,120.292,-28.312
3.39,459.486,118.887,-27.881
3.44,465.395,117.507,-27.416
3.483,470.424,116.337,-26.957
3.521,474.791,115.326,-26.689
3.571,480.524,114.002,-26.314
3.608,484.735,113.032,-25.94
3.658,490.354,111.745,-25.623
3.69,493.9,110.934,-25.307
3.738,499.171,109.734,-24.965
3.788,504.626,108.496,-24.576
3.838,510.02,107.276,-24.213
3.888,515.354,106.074,-23.855
3.938,520.628,104.889,-23.552
3.988,525.843,103.72,-23.226
4.038,531,102.568,-22.858
4.088,536.1,101.431,-22.61
4.138,541.144,100.31,-22.258
4.188,546.132,99.204,-21.985
4.238,551.064,98.112,-21.68
4.288,555.943,97.034,-21.448
4.338,560.768,95.969,-21.146
4.388,565.54,94.918,-20.888
4.438,570.26,93.881,-20.608
4.488,574.928,92.855,-20.416
4.538,579.546,91.843,-20.101
4.588,584.113,90.842,-19.909
4.638,588.63,89.852,-19.68
4.688,593.098,88.876,-19.401
4.738,597.518,87.909,-19.256
4.788,601.889,86.953,-18.987
4.838,606.213,86.008,-18.792
4.888,610.49,85.073,-18.63
4.938,614.721,84.148,-18.373
4.988,618.905,83.233,-18.228
5.038,623.044,82.328,-17.972
5.088,627.138,81.434,-17.793
5.138,631.188,80.547,-17.676
5.188,635.193,79.67,-17.393
5.225,638.174,79.019,-17.311
5.275,642.103,78.155,-17.216
5.311,644.892,77.541,-17.011
5.361,648.748,76.698,-16.803
5.397,651.459,76.102,-16.794
5.447,655.244,75.265,-16.639
5.497,658.986,74.438,-16.444
5.547,662.688,73.62,-16.275
5.597,666.348,72.81,-16.125
5.647,669.969,72.007,-16.015
5.697,673.549,71.209,-15.882
5.747,677.09,70.422,-15.632
5.775,679.109,69.973,-15.588
# Event EJECTION_CHARGE occurred at t=5.808 seconds
5.808,681.38,69.465,-15.59
5.857,684.755,68.705,-15.489
5.894,687.272,68.139,-15.302
5.944,690.66,67.378,-15.145
5.99,693.769,66.677,-15.114
6.04,697.084,65.925,-14.949
6.09,700.362,65.18,-14.853
6.14,703.602,64.44,-14.746
6.19,706.806,63.706,-14.61
6.24,709.973,62.979,-14.481
6.29,713.104,62.257,-14.38
6.34,716.199,61.541,-14.269
6.39,719.258,60.83,-14.176
6.44,722.282,60.122,-14.131
6.481,724.751,59.542,-13.956
6.531,727.711,58.849,-13.809
6.568,729.865,58.342,-13.792
6.618,732.765,57.652,-13.773
6.663,735.374,57.028,-13.641
6.713,738.208,56.351,-13.468
6.754,740.504,55.8,-13.455
6.804,743.277,55.128,-13.412
6.854,746.017,54.46,-13.306
6.904,748.723,53.796,-13.225
6.954,751.396,53.139,-13.067
7.004,754.037,52.489,-12.964
7.048,756.328,51.92,-12.981
7.098,758.908,51.272,-12.925
7.148,761.455,50.628,-12.835
7.198,763.971,49.99,-12.687
7.248,766.454,49.357,-12.612
7.298,768.906,48.728,-12.58
7.348,771.327,48.101,-12.472
7.398,773.717,47.479,-12.441
7.448,776.075,46.857,-12.421
7.498,778.402,46.24,-12.263
